"report-file-0"
"Iteration" "cs-htc etc.."
("Iteration" "cs-htc" "cs-temp" "max-temp" "p-in")
1 -0.5149728902530873 521.6664799233779 522.4942016601563 9770611.534218173
2 -0.07232972496248045 573.8331224344016 574.60302734375 9772085.645487955
3 -0.03215363197861161 631.2164338527275 632.0068359375 9773972.899018664
4 -0.05729051133929357 694.3380792995696 695.1510620117188 9775655.152095295
5 -0.07180409901594663 763.771889362983 764.6097412109375 9776419.47752719
6 -0.08922930813725476 822.0172785100013 841.01416015625 9778121.899252623
7 9980.247055867749 827.2599937819231 925.05859375 9778632.183708178
8 10324.88759754244 837.0452338389537 1017.506652832031 9779118.312162427
9 10987.47232998778 844.3645641008189 1119.197998046875 9779602.105120696
10 11327.79484140421 847.8074185941737 1161.461181640625 9779879.140629914
11 11387.27385407752 852.2794519564507 1186.373657226563 9780287.013429614
12 11515.28861438564 855.9587035463776 1201.454345703125 9780482.174432177
13 11684.25570983866 858.6142296410266 1211.612426757813 9780746.965796674
14 11887.31887067 859.716400190555 1217.774780273438 9780907.375756402
15 12075.83877348194 859.5929279425019 1221.215698242188 9781043.842288313
16 12243.19197585314 858.8790157867983 1222.97607421875 9781203.100795317
17 12391.46577630334 857.9191446800103 1223.737426757813 9781346.381038891
18 12527.77596944199 856.7548496064915 1223.724975585938 9781459.47036309
19 12651.74948628234 855.3664929034113 1223.066772460938 9781616.106249822
20 12762.69637904368 853.8159756648565 1221.9375 9781776.21488326
21 12864.1552232607 852.0340444342047 1220.295654296875 9781898.77460614
22 12946.40002842353 850.2791853062138 1218.521484375 9781978.055682389
23 13025.0466330842 848.4743867030703 1216.612915039063 9782098.417514035
24 13098.88254015871 846.7249736949456 1214.682250976563 9782153.885000613
25 13162.19163897059 845.1407145905599 1212.877685546875 9782227.91438547
26 13245.36472611628 843.002584383525 1210.576171875 9782781.589548441
27 13304.84433800007 841.5568063586289 1208.849365234375 9782827.280701935
28 13369.97851732607 840.1573374060265 1207.176513671875 9782835.106334766
29 13423.95883933343 838.787761883861 1205.475463867188 9782837.371582638
30 13453.04069000043 837.7808474657489 1204.192016601563 9782838.546610625
31 13478.59886247097 836.9313826608545 1203.075561523438 9782839.056207642
32 13493.41141579858 836.2135538847177 1202.119873046875 9782838.970218338
33 13499.70064865355 835.7087891011832 1201.448120117188 9782838.589827588
34 13513.6338066748 835.1678940577655 1200.734619140625 9782838.45370663
35 13520.59627359487 834.6907286676043 1200.086181640625 9782837.879196066
36 13519.77097244935 834.4401633591816 1199.720336914063 9782836.123504786
37 13521.65602605036 834.246135464405 1199.404174804688 9782834.934527634
38 13516.11143230266 834.1528143711874 1199.21044921875 9782833.85584946
39 13510.76097547855 834.092289441517 1199.072265625 9782833.065110845
40 13505.83414672603 834.047864950609 1198.97216796875 9782832.24681627
41 13501.38504319521 834.0171963379483 1198.89794921875 9782830.821207743
42 13496.43844744017 834.0084974920862 1198.850952148438 9782828.118681336
43 13489.54557443586 834.0384127243676 1198.841552734375 9782827.124678915
44 13480.33888465705 834.1161318918029 1198.882934570313 9782826.013071889
45 13471.14538426484 834.2061975082274 1198.955932617188 9782824.599139631
46 13463.79336609324 834.2972720458968 1199.046875 9782824.313689888
47 13457.90464755278 834.380630132341 1199.143432617188 9782823.956162412
48 13453.24532987393 834.455418693237 1199.232666015625 9782823.517086117
49 13447.96913619426 834.537845986956 1199.3251953125 9782823.13699911
50 13441.77423304476 834.6310038017311 1199.421630859375 9782823.067508871
51 13434.67445314982 834.7340386949213 1199.530639648438 9782823.316846687
52 13428.22249415366 834.8341757921803 1199.643310546875 9782823.737252681
53 13422.65821650437 834.9306897798982 1199.759887695313 9782824.610393986
54 13418.09841341928 835.0171376067399 1199.866455078125 9782825.306762736
55 13413.51529552727 835.1018047284082 1199.968017578125 9782826.069456048
56 13408.26065674425 835.1943179337587 1200.073120117188 9782827.290986896
57 13402.4167178384 835.2950865618293 1200.185546875 9782828.461870467
58 13397.28074051216 835.3860513799514 1200.2890625 9782831.464573994
59 13392.62050043396 835.474267902722 1200.3935546875 9782833.053687697
60 13389.14644261349 835.5504089382704 1200.48828125 9782837.311514387
61 13385.93922590374 835.6264475841447 1200.580810546875 9782838.583255881
62 13382.65193620043 835.7038583602615 1200.671997070313 9782839.43212497
63 13378.8232334255 835.7870868764644 1200.7666015625 9782840.222541213
64 13374.83094024153 835.8732303751412 1200.864501953125 9782841.106840413
65 13371.15324421543 835.9572549655172 1200.962158203125 9782843.046657512
66 13367.97798040801 836.0362078094723 1201.056396484375 9782844.065772984
67 13365.19723310847 836.1105543051741 1201.145874023438 9782845.872898556
68 13362.45167096838 836.1824349830393 1201.231567382813 9782847.284801995
69 13359.52835087296 836.2544211398475 1201.315307617188 9782848.444316255
70 13356.36990692717 836.3272519366483 1201.399047851563 9782850.065761819
71 13353.03202885161 836.4053989721886 1201.491088867188 9782851.330373202
72 13350.55336698465 836.4711565815456 1201.568725585938 9782852.981936814
73 13348.04109561342 836.5297896784086 1201.639770507813 9782857.84835688
74 13345.72550291141 836.5870480128066 1201.708740234375 9782859.676254001
75 13343.50101689096 836.6424410992088 1201.774536132813 9782860.793861058
76 13340.97127465512 836.7034485371266 1201.847045898438 9782862.634525251
77 13338.93906406954 836.7552636954626 1201.907836914063 9782863.712699097
78 13336.60635162018 836.8066660780695 1201.968139648438 9782864.84111372
79 13334.48028815703 836.8563167432618 1202.02685546875 9782866.095527545
80 13332.46914243126 836.9043559725974 1202.083618164063 9782867.413782479
81 13330.92102683402 836.9393914670377 1202.128295898438 9782879.284668127
82 13328.95588643656 836.9857664624907 1202.183715820313 9782879.909338038
83 13327.4427824469 837.0286499961392 1202.235229492188 9782880.406403841
84 13325.80771703539 837.0702799819359 1202.284790039063 9782881.427545678
85 13324.20062357261 837.109733102623 1202.331909179688 9782882.260131547
86 13322.74208802519 837.1443586529931 1202.372314453125 9782882.864024006
87 13321.10536360288 837.1793236099428 1202.412841796875 9782883.770336725
88 13319.40365691415 837.2165755064273 1202.456665039063 9782885.441337612
89 13317.96491328137 837.2498920773062 1202.494873046875 9782885.994862165
90 13316.15780896338 837.2872154185706 1202.5380859375 9782886.564599082
91 13314.55580398361 837.3235555182694 1202.580078125 9782887.677135736
92 13313.03738761353 837.3553782390254 1202.616333007813 9782888.409008944
93 13311.24648759631 837.3908104295497 1202.657470703125 9782888.9739036
94 13309.71323614601 837.424749892602 1202.696899414063 9782889.594998071
95 13308.24498911122 837.4550209974383 1202.731323242188 9782890.524894835
96 13306.62527146789 837.4855162302296 1202.765991210938 9782891.512992965
97 13305.06937125186 837.5156961641917 1202.800415039063 9782892.133326929
98 13303.56106826418 837.5454246348444 1202.83447265625 9782892.909090301
99 13301.98367897887 837.5775894067231 1202.8720703125 9782893.573725905
100 13300.59794355557 837.6080119715343 1202.90771484375 9782894.317978445
101 13299.31161929986 837.6340304677461 1202.937866210938 9782895.588090999
102 13297.95288219149 837.6586934253049 1202.966674804688 9782897.693667211
103 13296.60195239436 837.6850224301717 1202.997924804688 9782899.545464892
104 13295.52319834061 837.7077032399196 1203.0244140625 9782900.132987626
105 13294.32417200851 837.7303411397542 1203.05078125 9782900.626986874
106 13293.12734230499 837.7541646580453 1203.078979492188 9782901.476523152
107 13292.13111703806 837.7745213429226 1203.102783203125 9782902.109288532
108 13291.01635978454 837.7946185047051 1203.126953125 9782904.473926699
109 13290.00684592211 837.8149325886827 1203.15087890625 9782904.889985926
110 13288.99524835403 837.8350539297965 1203.174682617188 9782905.248484218
111 13288.04084529409 837.8540255871471 1203.197021484375 9782905.878699021
112 13287.09073884901 837.8718258813889 1203.21826171875 9782906.46575374
113 13286.2506410881 837.8865897729072 1203.235107421875 9782906.791651569
114 13285.25006451972 837.9028079061119 1203.25390625 9782907.715727063
115 13284.41993222211 837.9172517303986 1203.270385742188 9782908.193782499
116 13283.56299238542 837.9303797986222 1203.285522460938 9782909.933820667
117 13282.70895462328 837.944360510704 1203.301391601563 9782910.196092214
118 13281.90202395743 837.9578809642302 1203.31689453125 9782910.45338429
119 13281.06401858981 837.9724019508934 1203.333862304688 9782910.798777325
120 13280.31013018863 837.9862349593582 1203.349975585938 9782911.061895639
121 13279.55309828776 837.9994756207698 1203.365356445313 9782911.32934032
122 13278.84526102459 838.0111123565044 1203.378662109375 9782911.819611952
123 13278.03654107271 838.024198864512 1203.393920898438 9782912.3411669
124 13277.41010516995 838.0348516111226 1203.406005859375 9782912.664333602
125 13276.70041145602 838.0454918913163 1203.418212890625 9782912.970707625
126 13276.02501819571 838.0560625590947 1203.43017578125 9782913.294834314
127 13275.33460955628 838.0673069650869 1203.443237304688 9782913.576937309
128 13274.74818371823 838.0769635460238 1203.454223632813 9782913.951313475
129 13274.14110822401 838.0857879563127 1203.464477539063 9782914.883922284
130 13273.51698412417 838.0956959715409 1203.475952148438 9782915.294404645
131 13272.97668417153 838.1046902082758 1203.486450195313 9782915.55539928
132 13272.46499416095 838.1125081008131 1203.495483398438 9782915.959663747
133 13271.91186250627 838.1207751021507 1203.505126953125 9782916.214108752
134 13271.45306268635 838.1276713500968 1203.513061523438 9782916.7982243
135 13270.96250338726 838.1345320931769 1203.521240234375 9782917.732745744
136 13270.5404332804 838.1406162889775 1203.5283203125 9782918.018453989
137 13270.106450098 838.1465086002853 1203.535034179688 9782918.188651649
138 13269.67204668676 838.152753569552 1203.542358398438 9782918.360956321
139 13269.29224446159 838.1580919348118 1203.548461914063 9782918.532788059
140 13268.86690228185 838.1638284484972 1203.555053710938 9782918.744991351
141 13268.47830934493 838.1692392842009 1203.561279296875 9782918.949787056
142 13268.09354290005 838.1743697815976 1203.567138671875 9782919.148263818
143 13267.71617171732 838.1793131580799 1203.57275390625 9782919.573365116
144 13267.37266206347 838.1832926594909 1203.577270507813 9782919.879887082
145 13267.01958609932 838.187348023295 1203.581909179688 9782920.344393728
146 13266.70065620915 838.1912756098305 1203.58642578125 9782920.558455432
147 13266.3911252551 838.194958671286 1203.590698242188 9782920.848196881
148 13266.10089789627 838.1980975840969 1203.59423828125 9782921.029753437
149 13265.80067061663 838.2013694988078 1203.598022460938 9782921.188694391
150 13265.53323388134 838.2041687134816 1203.60107421875 9782921.364718961
151 13265.2465391299 838.2071632415377 1203.6044921875 9782921.690532232
152 13264.99342424865 838.2095509009458 1203.607177734375 9782921.996368794
153 13264.73809175358 838.2117457322544 1203.609619140625 9782922.190596465
154 13264.49408185556 838.2138615719308 1203.612060546875 9782922.45987932
155 13264.26172448843 838.2157434953842 1203.614135742188 9782922.649329288
156 13264.03107912584 838.2176739612618 1203.616333007813 9782922.84526943
157 13263.81599048666 838.2193565313218 1203.6181640625 9782923.042446131
158 13263.60929008911 838.220771419719 1203.619750976563 9782923.267041733
159 13263.40328205534 838.2221053243642 1203.621215820313 9782923.562271783
160 13263.20697287239 838.2232321362998 1203.622436523438 9782923.746969309
161 13263.02185935525 838.2242026865435 1203.62353515625 9782923.947776532
162 13262.83900387841 838.2251217541369 1203.62451171875 9782924.263400836
163 13262.66839327559 838.2257294166812 1203.625244140625 9782924.407571994
164 13262.50073048358 838.2262744800724 1203.625732421875 9782924.624162417
165 13262.3431747633 838.2266288242241 1203.626098632813 9782924.829680307
166 13262.21931776663 838.2260286458476 1203.625610351563 9782925.869006997
167 13262.07840329436 838.2259832122253 1203.62548828125 9782926.011141576
168 13261.95813567649 838.2258072597945 1203.625366210938 9782926.192289997
169 13261.8478731353 838.2253180215457 1203.624755859375 9782926.318724466
170 13261.73479433244 838.2247609906658 1203.6240234375 9782926.411321947
171 13261.63099806961 838.224097520584 1203.623291015625 9782926.505708054
172 13261.53548285161 838.2233195975313 1203.622314453125 9782926.640749523
173 13261.45829341006 838.2221180617481 1203.620971679688 9782926.791430986
174 13261.35371351149 838.2212671048611 1203.619995117188 9782926.944013601
175 13261.30486686876 838.2198381172948 1203.618286132813 9782927.097992737
176 13261.20275097861 838.2188595944734 1203.617065429688 9782927.254083797
177 13261.14227211027 838.2175394573837 1203.615478515625 9782927.483581809
178 13261.03626063504 838.2165621511193 1203.6142578125 9782927.753525039
179 13260.96727409358 838.2151039715019 1203.612548828125 9782927.915441083
180 13260.8543742606 838.2139694442546 1203.611083984375 9782928.074693732
181 13260.76074568392 838.2128751499559 1203.609619140625 9782928.271850673
182 13260.72614416677 838.2100743732607 1203.606689453125 9782929.841381863
183 13260.63738844563 838.2086101607063 1203.604858398438 9782929.917822231
184 13260.59536615265 838.2069194511162 1203.602905273438 9782929.981435791
185 13260.55528238099 838.2049745484552 1203.6005859375 9782930.032389155
186 13260.50531598593 838.2030787125765 1203.598388671875 9782930.093583584
187 13260.45447784289 838.2012317845881 1203.596069335938 9782930.151191402
188 13260.39163661155 838.1996773254975 1203.59423828125 9782930.237353094
189 13260.3362748685 838.1980858736677 1203.59228515625 9782930.309248857
190 13260.27919031065 838.1963423877817 1203.590209960938 9782930.383766798
191 13260.20118677524 838.1948821819307 1203.58837890625 9782930.484548608
192 13260.13243409139 838.1934574148768 1203.586547851563 9782930.57085898
193 13260.06248842908 838.1920265677891 1203.584838867188 9782930.739736049
194 13260.03329918571 838.1893807868429 1203.58203125 9782931.971653592
195 13259.99400845415 838.1871375569775 1203.579467773438 9782932.392546488
196 13259.97544444719 838.1848283704918 1203.576782226563 9782932.424596351
197 13259.95064922628 838.1825552612233 1203.574096679688 9782932.433482431
198 13259.92441514077 838.1803745829905 1203.571411132813 9782932.441922218
199 13259.89083309406 838.1783487262712 1203.569091796875 9782932.553893073
200 13259.85708448555 838.1764650875009 1203.56689453125 9782932.597433962
201 13259.81733214181 838.1746224200773 1203.564697265625 9782932.629062679
202 13259.77644013155 838.1726880578456 1203.562377929688 9782932.832767086
203 13259.73429766446 838.1707325862158 1203.559936523438 9782932.86590381
204 13259.67700902209 838.1689592101769 1203.557739257813 9782932.906703318
205 13259.61993839045 838.1673309653044 1203.5556640625 9782932.961748147
206 13259.55347074365 838.1660151765501 1203.554077148438 9782933.023143874
207 13259.49806686425 838.1646822329994 1203.552490234375 9782933.102591056
208 13259.43747665117 838.1633773795198 1203.550903320313 9782933.173562324
209 13259.38328869946 838.161937211274 1203.549194335938 9782933.415239356
210 13259.33577729099 838.1603114941182 1203.54736328125 9782933.846098427
211 13259.28687813216 838.1588239857208 1203.545532226563 9782933.909842601
212 13259.24969758061 838.1571618101993 1203.543701171875 9782934.147611357
213 13259.21101389066 838.1555576218899 1203.541748046875 9782934.205764409
214 13259.17563948114 838.1539364512316 1203.539916992188 9782934.297632178
