cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
         1,-3.946863217E-05, 7.969952188E-03, 6.599264592E-02, 3.524581728E+02
         2,-1.181233019E-04, 7.965103723E-03, 6.598836184E-02, 3.524933538E+02
         3,-3.946852303E-05, 7.969952188E-03, 6.566035748E-02, 3.538056104E+02
         4,-1.959365036E-04, 7.956898771E-03, 6.598088890E-02, 3.525692214E+02
         5,-1.181231128E-04, 7.965103723E-03, 6.569086760E-02, 3.538422150E+02
         6,-2.724226215E-04, 7.945936173E-03, 6.596974283E-02, 3.526861658E+02
         7,-1.959363726E-04, 7.956898771E-03, 6.575095654E-02, 3.539209052E+02
         8,-3.189927374E-04, 7.937318645E-03, 6.596068293E-02, 3.524858813E+02
         9,-2.724225633E-04, 7.945936173E-03, 6.584078819E-02, 3.540421129E+02
        10,-3.189927374E-04, 7.937319577E-03, 6.591393799E-02, 3.538482730E+02
        11,-3.109621757E-04, 7.829803042E-03, 6.595154107E-02, 3.468191017E+02
        12,-2.347560803E-04, 7.730202284E-03, 6.595195085E-02, 3.463573286E+02
        13,-3.170105629E-04, 7.882361300E-03, 6.592135131E-02, 3.468866679E+02
        14,-2.586973133E-04, 7.798835170E-03, 6.587315351E-02, 3.465187460E+02
        15,-2.845594136E-04, 7.796411868E-03, 6.594797224E-02, 3.465187460E+02
        16,-2.603089961E-04, 7.762939204E-03, 6.595193595E-02, 3.465187460E+02
        17,-3.109621466E-04, 7.829803042E-03, 6.595597416E-02, 3.455687733E+02
        18,-1.946282428E-04, 7.717879489E-03, 6.591144204E-02, 3.462471073E+02
        19,-2.347560367E-04, 7.730202284E-03, 6.595598161E-02, 3.451194913E+02
        20,-2.707948734E-04, 7.883607410E-03, 6.578166038E-02, 3.465960413E+02
        21,-3.170105338E-04, 7.882361300E-03, 6.595973670E-02, 3.456350987E+02
        22,-1.941681985E-04, 7.783164736E-03, 6.576100737E-02, 3.464167325E+02
        23,-2.586967021E-04, 7.798835170E-03, 6.596569717E-02, 3.452777156E+02
        24,-2.602872264E-04, 7.764796261E-03, 6.595645100E-02, 3.452777156E+02
        25,-2.858503431E-04, 7.796380669E-03, 6.595598906E-02, 3.452777156E+02
        26,-1.168628078E-04, 7.699086796E-03, 6.584908813E-02, 3.461733264E+02
        27,-1.946278353E-04, 7.717879489E-03, 6.596104056E-02, 3.450125920E+02
        28,-1.934194443E-04, 7.885177620E-03, 6.560047716E-02, 3.464996228E+02
        29,-2.707945241E-04, 7.883607410E-03, 6.597699970E-02, 3.453535244E+02
        30,-1.164982968E-04, 7.784699090E-03, 6.563729793E-02, 3.463483353E+02
        31,-1.941669907E-04, 7.783164736E-03, 6.597959250E-02, 3.451788270E+02
        32,-3.896963608E-05, 7.689956110E-03, 6.581698358E-02, 3.461377748E+02
        33,-1.168621311E-04, 7.699087262E-03, 6.596884131E-02, 3.449410472E+02
        34,-1.160461616E-04, 7.886706851E-03, 6.547904015E-02, 3.464344755E+02
        35,-1.934187749E-04, 7.885177620E-03, 6.599939615E-02, 3.452600847E+02
        36,-3.883331374E-05, 7.786236238E-03, 6.557384133E-02, 3.463148130E+02
        37,-1.164969653E-04, 7.784699090E-03, 6.599491835E-02, 3.451125271E+02
        38,-3.896933777E-05, 7.689955644E-03, 6.597290933E-02, 3.449065954E+02
        39,-3.868065323E-05, 7.888237946E-03, 6.541686505E-02, 3.464015467E+02
        40,-1.160456886E-04, 7.886705920E-03, 6.601440161E-02, 3.451969454E+02
        41,-3.883275713E-05, 7.786236238E-03, 6.600280106E-02, 3.450800411E+02
        42,-3.868050044E-05, 7.888237946E-03, 6.602218002E-02, 3.451650474E+02
         1,-3.214814351E-04,-7.936912589E-03, 6.596053392E-02, 4.600821269E+02
         2,-3.214814351E-04,-7.936912589E-03, 6.591829658E-02, 4.612867002E+02
         3,-2.754120214E-04,-7.945409976E-03, 6.596944481E-02, 4.588869681E+02
         4,-2.754119923E-04,-7.945409976E-03, 6.584569067E-02, 4.600697341E+02
         5,-1.980797824E-04,-7.956597954E-03, 6.598078460E-02, 4.588183124E+02
         6,-1.980796951E-04,-7.956598885E-03, 6.575341523E-02, 4.600007818E+02
         7,-1.194127763E-04,-7.964968681E-03, 6.598834693E-02, 4.587662153E+02
         8,-1.194126307E-04,-7.964968681E-03, 6.569177657E-02, 4.599483753E+02
         9,-3.989914694E-05,-7.969917729E-03, 6.599266082E-02, 4.587305256E+02
        10,-3.989905599E-05,-7.969917729E-03, 6.566052884E-02, 4.599123706E+02
        11,-3.925093915E-05,-7.690431084E-03, 6.581810862E-02, 4.718869371E+02
        12,-1.177375307E-04,-7.699366193E-03, 6.585007906E-02, 4.718941065E+02
        13,-3.917420327E-05,-7.786225062E-03, 6.557454169E-02, 4.719571200E+02
        14,-3.925097189E-05,-7.690431084E-03, 6.597347558E-02, 4.704522625E+02
        15,-1.961572707E-04,-7.718536071E-03, 6.591383368E-02, 4.719075880E+02
        16,-1.175335419E-04,-7.784675341E-03, 6.563898176E-02, 4.719644133E+02
        17,-1.177375816E-04,-7.699365728E-03, 6.596890837E-02, 4.704594938E+02
