
[Name]
inner_tube inner_tube_inner_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Surface Heat Transfer Coefficient [ W m^-2 K^-1 ], Yplus
3.33472304e-02, 5.85665591e-02, 2.40183156e-02, 0.00000000e+00, 1.32471466e+00
3.33458856e-02, 5.84872700e-02, 2.49890089e-02, 0.00000000e+00, 1.14020191e-01
3.32889035e-02, 5.84994107e-02, 2.49889903e-02, 0.00000000e+00, 1.13128103e-01
3.32931057e-02, 5.85786588e-02, 2.40183156e-02, 0.00000000e+00, 1.44585216e+00
3.32324579e-02, 5.85138835e-02, 2.49890126e-02, 0.00000000e+00, 1.14041045e-01
3.32393758e-02, 5.85924275e-02, 2.40183156e-02, 0.00000000e+00, 1.50858831e+00
3.31763588e-02, 5.85296303e-02, 2.49889940e-02, 0.00000000e+00, 1.14623442e-01
3.31860855e-02, 5.86078092e-02, 2.40183156e-02, 0.00000000e+00, 1.57304919e+00
3.31206694e-02, 5.85467890e-02, 2.49890070e-02, 0.00000000e+00, 1.14881255e-01
3.31330597e-02, 5.86240664e-02, 2.40183156e-02, 0.00000000e+00, 1.63000059e+00
3.30656618e-02, 5.85660189e-02, 2.49889940e-02, 0.00000000e+00, 1.15151279e-01
3.30807567e-02, 5.86425252e-02, 2.40183156e-02, 0.00000000e+00, 1.69019449e+00
3.30110490e-02, 5.85863516e-02, 2.49889791e-02, 0.00000000e+00, 1.15364105e-01
3.30288112e-02, 5.86619675e-02, 2.40183156e-02, 0.00000000e+00, 1.75101483e+00
3.29571515e-02, 5.86084910e-02, 2.49889903e-02, 0.00000000e+00, 1.15467690e-01
3.29773761e-02, 5.86827137e-02, 2.40183156e-02, 0.00000000e+00, 1.80872214e+00
3.29038985e-02, 5.86321242e-02, 2.49889661e-02, 0.00000000e+00, 1.15596458e-01
3.29267010e-02, 5.87052628e-02, 2.40183156e-02, 0.00000000e+00, 1.86812401e+00
3.28513868e-02, 5.86573295e-02, 2.49889903e-02, 0.00000000e+00, 1.15609929e-01
3.28764096e-02, 5.87286465e-02, 2.40183156e-02, 0.00000000e+00, 1.92607117e+00
3.27995643e-02, 5.86838946e-02, 2.49889642e-02, 0.00000000e+00, 1.15519121e-01
3.28270048e-02, 5.87538555e-02, 2.40183156e-02, 0.00000000e+00, 1.97603154e+00
3.27486396e-02, 5.87121174e-02, 2.49889661e-02, 0.00000000e+00, 1.15205832e-01
3.27782296e-02, 5.87802567e-02, 2.40183156e-02, 0.00000000e+00, 2.03131437e+00
3.26984376e-02, 5.87415583e-02, 2.49889772e-02, 0.00000000e+00, 1.16338976e-01
3.27299982e-02, 5.88076450e-02, 2.40183156e-02, 0.00000000e+00, 2.03434134e+00
3.33447643e-02, 5.84090687e-02, 2.59597898e-02, 0.00000000e+00, 1.08756319e-01
3.32850479e-02, 5.84216304e-02, 2.59597860e-02, 0.00000000e+00, 1.07811689e-01
3.32259052e-02, 5.84366992e-02, 2.59598214e-02, 0.00000000e+00, 1.08642824e-01
3.31671089e-02, 5.84530681e-02, 2.59598084e-02, 0.00000000e+00, 1.09149270e-01
3.31087783e-02, 5.84710352e-02, 2.59598233e-02, 0.00000000e+00, 1.09308451e-01
3.30511741e-02, 5.84911853e-02, 2.59598121e-02, 0.00000000e+00, 1.09440334e-01
3.29939984e-02, 5.85125312e-02, 2.59597916e-02, 0.00000000e+00, 1.09461397e-01
3.29376012e-02, 5.85358217e-02, 2.59597972e-02, 0.00000000e+00, 1.09363236e-01
3.28819305e-02, 5.85607700e-02, 2.59597674e-02, 0.00000000e+00, 1.09221838e-01
3.28270346e-02, 5.85873276e-02, 2.59597786e-02, 0.00000000e+00, 1.08928815e-01
3.27728763e-02, 5.86153194e-02, 2.59597320e-02, 0.00000000e+00, 1.08418226e-01
3.27196941e-02, 5.86450845e-02, 2.59597134e-02, 0.00000000e+00, 1.07566901e-01
3.26674618e-02, 5.86763993e-02, 2.59597208e-02, 0.00000000e+00, 1.08081602e-01
3.33436504e-02, 5.83308637e-02, 2.69305725e-02, 0.00000000e+00, 1.19176768e-01
3.32812071e-02, 5.83438724e-02, 2.69305874e-02, 0.00000000e+00, 1.18369363e-01
3.32193598e-02, 5.83595112e-02, 2.69306339e-02, 0.00000000e+00, 1.19279191e-01
3.31578702e-02, 5.83765060e-02, 2.69306246e-02, 0.00000000e+00, 1.19817957e-01
3.30969132e-02, 5.83953001e-02, 2.69306470e-02, 0.00000000e+00, 1.20003462e-01
3.30367014e-02, 5.84163405e-02, 2.69306321e-02, 0.00000000e+00, 1.20134212e-01
3.29769664e-02, 5.84387034e-02, 2.69306079e-02, 0.00000000e+00, 1.20117806e-01
3.29180919e-02, 5.84631786e-02, 2.69306097e-02, 0.00000000e+00, 1.19972877e-01
3.28599885e-02, 5.84894009e-02, 2.69305725e-02, 0.00000000e+00, 1.19741544e-01
3.28027084e-02, 5.85173108e-02, 2.69305706e-02, 0.00000000e+00, 1.19319089e-01
3.27462815e-02, 5.85468449e-02, 2.69305129e-02, 0.00000000e+00, 1.18600212e-01
3.26907746e-02, 5.85780405e-02, 2.69304644e-02, 0.00000000e+00, 1.17427990e-01
3.26365083e-02, 5.86112291e-02, 2.69304663e-02, 0.00000000e+00, 1.17717899e-01
3.33425403e-02, 5.82526624e-02, 2.79013589e-02, 0.00000000e+00, 1.21187434e-01
3.32773849e-02, 5.82662150e-02, 2.79013962e-02, 0.00000000e+00, 1.20408289e-01
3.32128108e-02, 5.82823232e-02, 2.79014483e-02, 0.00000000e+00, 1.21379882e-01
3.31486315e-02, 5.82999438e-02, 2.79014409e-02, 0.00000000e+00, 1.22021534e-01
3.30850482e-02, 5.83195686e-02, 2.79014707e-02, 0.00000000e+00, 1.22325055e-01
3.30222361e-02, 5.83414994e-02, 2.79014539e-02, 0.00000000e+00, 1.22553259e-01
3.29599604e-02, 5.83649240e-02, 2.79014297e-02, 0.00000000e+00, 1.22644879e-01
3.28985862e-02, 5.83905280e-02, 2.79014241e-02, 0.00000000e+00, 1.22612558e-01
