cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
         1,-1.307251978E-06, 7.489999756E-03, 6.559999287E-02, 3.452209646E+02
         1,-2.561730798E-03, 7.038297597E-03, 6.560000032E-02, 3.632573146E+02
         1,-4.814479034E-03, 5.737673026E-03, 6.560000032E-02, 3.999113863E+02
         1,-6.486530416E-03, 3.745000111E-03, 6.560000032E-02, 4.420322837E+02
         1,-7.376210298E-03, 1.300624805E-03, 6.560000032E-02, 4.779836221E+02
         1,-7.376210764E-03,-1.300624805E-03, 6.560000032E-02, 4.965525131E+02
         1,-6.486530416E-03,-3.745000111E-03, 6.560000032E-02, 5.049315938E+02
         1,-4.814479034E-03,-5.737673026E-03, 6.560000032E-02, 5.021934154E+02
         1,-2.561731031E-03,-7.038297597E-03, 6.560000032E-02, 4.960214427E+02
         1,-2.167787998E-11,-7.490000222E-03, 6.560000032E-02, 4.918834190E+02
         1,-1.307251750E-06, 7.489999291E-03, 7.919999212E-02, 3.314066315E+02
         1,-2.561730798E-03, 7.038297597E-03, 7.919999957E-02, 3.417503625E+02
         1,-4.814479034E-03, 5.737673026E-03, 7.919999957E-02, 3.600331389E+02
         1,-6.486530416E-03, 3.745000111E-03, 7.920000702E-02, 3.826879341E+02
         1,-7.376210298E-03, 1.300624805E-03, 7.919999957E-02, 4.162613424E+02
         1,-7.376210298E-03,-1.300624805E-03, 7.919999957E-02, 4.455084941E+02
         1,-6.486530416E-03,-3.745000111E-03, 7.919999957E-02, 4.662576374E+02
         1,-4.814479500E-03,-5.737673491E-03, 7.919999957E-02, 4.722129357E+02
         1,-2.561730798E-03,-7.038297597E-03, 7.919999957E-02, 4.698121607E+02
         1,-2.167826682E-11,-7.490000222E-03, 7.919999957E-02, 4.668319772E+02
         1,-1.307253228E-06, 7.489999756E-03, 9.279999882E-02, 3.260571860E+02
         1,-2.561730566E-03, 7.038297597E-03, 9.279999882E-02, 3.333535379E+02
         1,-4.814478569E-03, 5.737673026E-03, 9.279999882E-02, 3.436451465E+02
         1,-6.486529019E-03, 3.744999878E-03, 9.279999882E-02, 3.540051713E+02
         1,-7.376209833E-03, 1.300624805E-03, 9.279999882E-02, 3.672154148E+02
