"report-file-0"
"Iteration" "cs-htc etc.."
("Iteration" "cs-htc" "cs-temp" "max-temp" "p-in")
1 0.3498731574314772 331.0713359222468 331.6329650878906 9642526.014136711
2 0.1904918237867989 364.1784610503819 364.6965637207031 9649172.381900067
3 0.4735222501380307 400.5963102255017 401.1236572265625 9656643.852069801
4 3.172861926981508 440.6559587873841 441.1935119628906 9664307.40563743
5 -44.35725287310093 482.0031739282292 485.2704772949219 9668476.162454672
6 624777.7638477297 485.8370791769608 533.7552490234375 9672736.325268971
7 228048.3106046194 485.3792979576322 587.088623046875 9674586.442139791
8 110078.295394329 485.2090835989059 645.7554931640625 9676619.107987525
9 -17736.63411178568 483.3880512804938 679.8875122070313 9678263.925332399
10 -1184833.829618728 479.9292740804453 689.888916015625 9679758.836062519
11 323492.9615818365 476.1069294468334 693.1176147460938 9680795.299853705
12 2945406.219742881 473.0402946836967 693.93603515625 9681705.611658461
13 -1224906.142772598 470.6802412837662 693.37451171875 9683410.091589024
14 84424.99627534552 468.3836183119536 692.2301025390625 9684284.768048475
15 -119505.4942148878 465.943522417286 690.5376586914063 9685270.611715995
16 -16560.06655438566 463.6915930194242 688.7596435546875 9685959.006189257
17 -69509.26935841117 461.7049079372653 686.9235229492188 9687553.948199835
18 -401348.0004285609 460.2338198388069 685.390380859375 9688954.837301601
19 -700681.5627269383 458.8963652759569 683.8841552734375 9689417.986330021
20 -458656.0055024383 457.61637112849 682.5460205078125 9690070.691267636
21 -2486123.00551992 456.3326882763919 681.123291015625 9691110.07918244
22 -625014.3407238203 455.4170391457795 679.9771118164063 9691471.5970136
23 -438729.3848214519 454.3208711104942 678.6834716796875 9691797.632764043
24 -355223.6983798217 453.3060480970967 677.5598754882813 9692023.608834742
25 -308572.9086043195 452.2755108890096 676.261474609375 9692200.608367309
26 -282525.9853411781 451.4703813039715 675.1555786132813 9692384.572292481
27 -262465.5333955941 450.7551016819832 674.2269287109375 9692880.939080613
28 -248685.4752986341 450.2242508220994 673.5780639648438 9693062.217113923
29 -239590.8952883745 449.7733203618823 672.9942016601563 9693274.03175851
30 -232799.8200571541 449.4107625867427 672.48974609375 9693508.439252861
31 -225826.9716351554 449.0768393463728 672.0184326171875 9693629.841646377
32 -223597.6835066227 448.9336435134036 671.7105712890625 9693779.264235869
33 -223962.5908062408 448.9742892027812 671.591552734375 9693866.823891141
34 -221356.258225208 448.938757324476 671.4991455078125 9693961.119658288
35 -220146.2955996133 448.9323059055898 671.430419921875 9694039.121234268
36 -221476.4167181078 449.0010015090833 671.4293212890625 9694114.923870906
37 -221927.1162638355 449.0348276626862 671.4392700195313 9694316.212323546
38 -220968.4265987789 449.0370100786624 671.4592895507813 9694487.863008073
39 -221909.572637973 449.1121021928438 671.520263671875 9694528.243935751
40 -220774.6324535504 449.0558332874302 671.484619140625 9694627.986986253
41 -219034.9890315031 448.9389947304852 671.3797607421875 9694718.317762958
42 -218721.3988706054 448.8971665369793 671.3106689453125 9694771.193975126
43 -217866.3014885251 448.8528796494645 671.24365234375 9694926.212128116
44 -216911.8365419757 448.8178896459412 671.1952514648438 9694973.362740522
45 -217280.6663691818 448.8476956121985 671.1946411132813 9695014.004389845
46 -217640.156960041 448.8741938972046 671.1996459960938 9695077.419920374
47 -217623.3247790475 448.8778863648686 671.1912231445313 9695090.620096954
48 -220100.7333546356 449.0336762031901 671.30859375 9695100.054571459
49 -222470.1190577751 449.1873377502914 671.4542846679688 9695114.650106845
50 -224635.4932087104 449.3357601579195 671.6029663085938 9695128.298617495
51 -228200.3103226132 449.5613237330323 671.8350830078125 9695155.099499429
52 -231496.3502352163 449.7448020039332 672.0379638671875 9695190.34358025
53 -232296.2629058196 449.7997388531551 672.1288452148438 9695215.312858557
54 -234924.703555397 449.9416731449078 672.28369140625 9695230.273742562
55 -236721.6715416172 450.044374494198 672.4183349609375 9695258.836039552
56 -239190.8833043249 450.1459355455904 672.5463256835938 9695281.970527096
57 -242382.1169937822 450.2819314580918 672.6973876953125 9695313.234724769
58 -245405.3110651137 450.4038065136352 672.84130859375 9695346.04450023
59 -247140.2466265026 450.4766316178514 672.9375 9695382.419247655
60 -248956.468647661 450.5727091926017 673.042724609375 9695398.022881502
61 -250930.8855422835 450.6948334230568 673.1803588867188 9695410.765300523
62 -253549.674266192 450.8043706047756 673.3050537109375 9695499.801405814
63 -256785.5976516229 450.910097569418 673.42236328125 9695555.481914986
64 -259397.6677840874 450.9992032881083 673.5338745117188 9695577.6263167
65 -260886.0178819374 451.0614382694298 673.6217041015625 9695588.713400237
66 -261041.2570093907 451.0959312215702 673.6749267578125 9695590.997384211
67 -263414.2323963761 451.2172863460208 673.7916870117188 9695613.7206794
68 -267458.9006299322 451.3783383141328 673.949462890625 9695641.91476482
69 -271606.0424627023 451.5157350352986 674.0994262695313 9695664.11828864
70 -274484.0554292371 451.6108957031319 674.2183227539063 9695685.524676889
71 -276368.6234925572 451.6883552179492 674.3218383789063 9695699.093408911
72 -275642.547020518 451.7047605981621 674.368408203125 9695704.311555866
73 -277367.9585894108 451.7909517145406 674.4546508789063 9695704.105145616
74 -282191.6901584941 451.9583632218884 674.60400390625 9695716.187106613
75 -286769.2569014362 452.0976944144208 674.7508544921875 9695733.021295013
76 -290193.0265662781 452.19004459098 674.8633422851563 9695784.387226388
77 -292455.6637054709 452.2670248835212 674.97412109375 9695799.981944716
78 -292425.5569113987 452.3017573505242 675.0386352539063 9695807.958789632
79 -293148.0968413115 452.3570700305285 675.1021728515625 9695816.500355655
80 -297653.3238358956 452.4968700466908 675.2229614257813 9695823.291396266
81 -302708.6058278598 452.6353587860982 675.3583984375 9695839.35627518
82 -307216.6110474268 452.7397579091792 675.4774169921875 9695856.335295632
83 -309886.6348565914 452.8057866008093 675.5691528320313 9695881.853937697
84 -310213.9204438538 452.834359706687 675.627197265625 9695892.202873157
85 -309975.011497423 452.8571675343251 675.6651611328125 9695898.783038115
86 -313002.1267032868 452.9467547982196 675.74755859375 9695908.187142299
87 -317336.8366955384 453.0521585235202 675.8414306640625 9695961.181335533
88 -321975.6584081776 453.1530631970509 675.9526977539063 9695975.965857217
89 -324733.4244199325 453.2141267582416 676.0352172851563 9696035.306717239
90 -325538.6420314392 453.2502008071456 676.1019897460938 9696040.561443977
91 -325205.0718699524 453.269375397059 676.138671875 9696042.063173484
92 -326945.8087381005 453.3254269892655 676.1946411132813 9696041.191926489
93 -331251.427982442 453.422336565767 676.2804565429688 9696042.809626406
94 -336203.3163649148 453.5184348479584 676.37646484375 9696048.992884004
95 -339832.5444488457 453.5856446238075 676.4547729492188 9696058.170529323
96 -341712.2796864368 453.6300071703795 676.5230712890625 9696072.138968283
97 -341719.6828202439 453.6480133577135 676.560791015625 9696073.836678784
98 -342177.8679046981 453.6768885655526 676.5989379882813 9696073.14543101
99 -344852.3018066472 453.7352077448664 676.6524047851563 9696072.737178076
100 -348912.2934640522 453.8091106799122 676.72119140625 9696074.87129472
101 -352458.8545876332 453.8693766555672 676.7883911132813 9696081.13226136
102 -354489.8601107878 453.9066636822405 676.8397827148438 9696084.843742598
103 -355072.1438606729 453.9289899075555 676.8801879882813 9696088.22565864
104 -355302.4945937593 453.9492116878409 676.91015625 9696089.442547821
105 -356914.6681470795 453.9869561359815 676.9470825195313 9696089.541854722
106 -360320.6752575503 454.044355169845 676.9962158203125 9696090.658809803
107 -364120.6754931967 454.1033681727361 677.0546875 9696096.515325887
108 -367009.4575179769 454.1483218089316 677.1085205078125 9696100.890811305
109 -368734.3546213919 454.1806118279558 677.1559448242188 9696109.785580246
110 -369357.2825224681 454.201619538932 677.1881103515625 9696113.141836336
111 -370519.0143335239 454.230640509807 677.2225341796875 9696115.087039225
112 -373058.3316619495 454.2729180092199 677.2633056640625 9696119.462980915
113 -376631.3530982375 454.3239238558604 677.3131103515625 9696126.429011701
114 -379552.3206237804 454.3641070198839 677.3570556640625 9696131.102203645
115 -381434.9695565327 454.3924053912842 677.3944091796875 9696134.882319907
116 -382621.0146095995 454.4149565753577 677.4276123046875 9696139.491716487
117 -383460.304989978 454.434445625495 677.4542236328125 9696142.547025459
118 -385110.4848610328 454.4618259918914 677.4833374023438 9696146.394410439
119 -387862.5772230473 454.4982923176902 677.5187377929688 9696154.025220759
120 -390868.9331336352 454.5352703453505 677.55712890625 9696160.210936246
121 -393280.8987357599 454.5645121947796 677.592041015625 9696165.603472069
122 -394717.9189674395 454.583822184164 677.6180419921875 9696170.823143454
123 -395846.5179068639 454.6021967542182 677.64306640625 9696174.695124408
124 -396977.1991678994 454.6205155598698 677.6636962890625 9696178.022178836
125 -399171.0976579728 454.6484597843126 677.69189453125 9696182.263548398
126 -401849.890142796 454.6795073677581 677.7228393554688 9696190.539459623
127 -404459.450832566 454.7086051212022 677.7547607421875 9696195.040530976
128 -406485.7262713596 454.7314822522583 677.78173828125 9696200.049697416
