"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
1 415.0667757649177 415.7215270996094 0.5199304730224085 9870530.621627275
2 456.5734471843596 457.1797485351563 0.5878461356690661 9872823.930201868
3 502.2307916499274 502.8504028320313 -0.3744982986279473 9876422.921703255
4 552.4538753212286 553.0881958007813 -0.3599692457274151 9878972.315490713
5 607.3951022663431 608.349853515625 -0.3609057466871315 9881481.172396861
6 632.922934272701 669.1378173828125 2437.507432068892 9883028.69493315
7 629.9659300390175 736.0046997070313 19194.07395340537 9885105.437036913
8 633.9441498377867 809.5581665039063 19734.38321916093 9886302.59464057
9 635.6335635811832 862.7825317382813 21258.64211173754 9887142.17459547
10 635.9357310091123 882.9725952148438 22198.09927322585 9888599.754648672
11 635.8448874482228 894.0357055664063 23112.82787361267 9888885.028059222
12 634.9679445643344 899.809814453125 23989.70566813868 9889167.762323391
13 633.364824140974 902.3353271484375 24802.06498608334 9889417.150101611
14 631.1906181819946 902.6929321289063 25515.77566350818 9889677.082953839
15 628.986116703996 902.0751953125 26093.53337913273 9889903.362010425
16 626.1574500996112 900.3382568359375 26740.5002267405 9890268.276284205
17 623.5449858521318 898.2440185546875 27357.34471428039 9890473.287314001
18 620.8093093506795 895.5680541992188 27983.10676150821 9891143.068469835
19 618.9016154709184 893.4338989257813 28358.0002010515 9891305.399453914
20 617.2961474949736 891.5222778320313 28655.68586473189 9891415.03878092
21 616.103413698478 890.09130859375 28858.01268314517 9891517.106533444
22 614.9262340841051 888.650146484375 29095.8392270558 9891600.449502982
23 614.0003289598238 887.4976196289063 29277.76751378001 9891706.524916256
24 613.1982675026186 886.4683837890625 29458.77005518019 9891775.799514811
25 612.4982886310629 885.5721435546875 29606.8020473572 9891838.001287211
26 611.7417431870907 884.628662109375 29777.46307779006 9891904.768942814
27 611.050111827003 883.7592163085938 29926.52667943369 9891968.612750215
28 610.5182981407906 883.0742797851563 30043.60083616441 9892078.898934461
29 610.1518977216189 882.5877685546875 30132.38686941932 9892145.438574478
30 609.7997510743918 882.104736328125 30214.72736471506 9892204.772765432
31 609.4991610440484 881.6987915039063 30266.38858888184 9892272.694927149
32 609.3081770790208 881.4037475585938 30290.23185670947 9892361.768136686
33 609.2158456386684 881.220703125 30292.84052024506 9892406.904854422
34 609.0998150829034 881.0763549804688 30308.22974371775 9892458.692306727
35 608.9956023595043 880.9255981445313 30325.03785988159 9892503.820525678
36 608.9109131422739 880.78759765625 30325.36668750809 9892537.220833266
37 608.7657036688752 880.6099243164063 30338.06767400045 9892697.512184242
38 608.7466481593407 880.53125 30319.55939989431 9892725.854832217
39 608.7630675924208 880.5144653320313 30299.2465938459 9892753.276436314
40 608.6900717255716 880.4541625976563 30320.75761450378 9892805.104572332
41 608.5230246994176 880.2993774414063 30371.38864127865 9892843.893373434
42 608.4490272345583 880.20166015625 30376.47852696748 9892855.732355826
43 608.4753835449451 880.1837768554688 30344.92612880595 9892888.783973251
44 608.5101049196262 880.2001953125 30322.58513377193 9892900.565462381
45 608.5251455583117 880.215576171875 30319.49954579768 9892914.681221087
46 608.5288333952038 880.2283325195313 30319.14728519886 9892933.834009873
47 608.4539659136933 880.1798706054688 30339.12985948875 9892942.075863287
48 608.3888591188056 880.1204833984375 30352.1884025413 9892950.060441384
