"report-file-0"
"Iteration" "cs-htc etc.."
("Iteration" "cs-htc" "cs-temp" "max-temp" "p-in")
1 0.2900760984951307 410.8504081785358 411.4517822265625 9790572.768990649
2 0.2654441540645278 451.9354452255767 452.4922180175781 9792204.118605731
3 -0.2266360409293552 497.1289893863443 497.6978759765625 9794178.787576478
4 -0.1900436748075482 546.8418905192715 547.4241333007813 9796183.324164752
5 -0.1772468899555589 601.5260720508121 602.1231689453125 9796933.061448073
6 -0.04416588864276354 628.6357007133548 662.292236328125 9798080.70492745
7 16038.2095299245 635.0880087069762 728.4782104492188 9799261.926553812
8 16783.53353853543 642.9281796481139 801.2828369140625 9799726.770720806
9 17867.17059645073 647.5443585144816 855.6700439453125 9800200.564600052
10 18421.87669586007 649.7993712193741 876.3947143554688 9800735.115917988
11 18807.42402407631 651.2909736773311 888.0750122070313 9800987.660422258
12 19246.15448546112 652.0377504195698 895.0132446289063 9801218.833832782
13 19690.64361691064 651.8728659765587 898.8644409179688 9801403.939876996
14 20169.31607374804 650.4411840289191 900.1609497070313 9802006.288336501
15 20578.92125067375 648.9774887721863 900.44091796875 9802161.078656824
16 21026.38893225185 646.8626210474135 899.5612182617188 9802302.745344942
17 21452.92322787196 644.7758047353227 898.2191772460938 9802426.834523164
18 21868.85720668704 642.6057704192934 896.4453735351563 9802736.873274133
19 22244.03154163276 640.3819906692578 894.3749389648438 9803226.381074091
20 22523.61111933377 638.6772599916303 892.6101684570313 9803287.621082595
21 22777.95819600533 637.0623668540683 890.859619140625 9803343.084581962
22 23015.43406138851 635.4980688960302 889.1198120117188 9803388.038610429
23 23233.30625249394 634.0597215230105 887.466064453125 9803427.239862166
24 23488.5192957274 632.3751312547258 885.4905395507813 9803665.040217549
25 23637.39893913237 631.2556349597379 884.1205444335938 9803688.331900097
26 23801.95043104229 630.2439828428776 882.8773803710938 9803719.216007555
27 23953.33233337267 629.2454938063205 881.6221313476563 9803738.947561739
28 24060.52047170462 628.4543409457007 880.6436767578125 9803813.343943659
29 24159.21015271811 627.7944868763185 879.7923583984375 9803841.393910069
30 24232.62594359253 627.210866913491 878.9806518554688 9803855.857404089
31 24258.41217929665 626.8592759219655 878.464599609375 9803870.02745392
32 24295.02725034986 626.5461371996232 878.023193359375 9803889.100770965
33 24325.44777413154 626.2438973528386 877.6114501953125 9803908.962272646
34 24349.13084441986 625.9843784265594 877.2630004882813 9803919.891628753
35 24364.69447465474 625.8023690570769 877.0037841796875 9803928.765316896
